Run order,(X),(Xp),(Xg),(X4),"(Y,)",(Yo),(Ys)
1,15,40,10,3,77.59,80.73,79.67
2,17.5,40,5,6,87.94,90.21,89.02
3,17.5,50,15,4.5,92.95,95.17,93.98
4,15,40,10,6,71.85,77.76,77.09
5,20,40,10,3,92.47,94.42,93.17
6,17.5,40,10,4.5,93.34,95.84,94.56
7,15,30,10,4.5,64.06,69.65,68.94
8,17.5,40,10,4.5,92.37,94.84,93.85
9,17.5,30,10,3,79.58,79.88,78.41
10,17.5,30,10,6,76.75,80.01,78.96
11,17.5,50,5,4.5,94.72,95.37,93.95
12,15,40,5,4.5,76.17,83.43,82.96
13,17.5,40,10,4.5,92.56,95.07,93.9
14,20,40,10,6,91.62,93.97,92.79
15,20,30,10,4.5,86.61,87.78,86.34
16,17.5,30,5,4.5,80.94,84.21,82.93
17,15,50,10,4.5,84.21,86.25,85.35
18,17.5,30,15,4.5,80.14,82.15,80.76
19,17.5,40,10,4.5,92.65,95.41,94.15
20,20,40,5,4.5,95.45,96.84,95.13
21,17.5,40,15,3,88.87,90.52,89.24
22,22,40,15,4.5,93.66,96.26,95.12
23,17.5,40,15,6,86.33,89.81,88.79
24,17.5,40,5,3,90.21,92.99,91.88
25,17.5,40,10,4.5,92.82,95.27,94.31
26,20,50,10,4.5,94.22,97.34,96.28
27,17.5,50,10,6,89.89,91.84,90.89
28,15,40,15,4.5,78.88,81.89,80.81
29,17.5,50,10,3,91.95,93.71,92.45
